latitude,longitude,elevation_m,elevation_ft
44.743869832,-93.376829718,279.154,915.860
44.743869832,-93.376771138,279.142,915.820
44.743869832,-93.376712559,279.130,915.779
44.743869832,-93.376653979,279.119,915.743
44.743869832,-93.376595400,279.109,915.711
44.743869832,-93.376536820,279.100,915.682
44.743869832,-93.376478240,279.093,915.660
44.743869832,-93.376419661,279.087,915.639
44.743910892,-93.378411365,279.815,918.029
44.743910892,-93.378352785,279.698,917.644
44.743910892,-93.378294206,279.595,917.305
44.743910892,-93.378235626,279.499,916.993
44.743910892,-93.378177047,279.396,916.653
44.743910892,-93.378118467,279.270,916.239
44.743910892,-93.378059888,279.129,915.776
44.743910892,-93.378001308,278.987,915.313
44.743910892,-93.377942728,278.884,914.973
44.743910892,-93.377884149,278.813,914.741
44.743910892,-93.377825569,278.768,914.595
44.743910892,-93.377766990,278.814,914.744
44.743910892,-93.377708410,278.871,914.930
44.743910892,-93.377649831,278.941,915.160
44.743910892,-93.377591251,279.012,915.394
44.743910892,-93.377532672,279.081,915.620
44.743910892,-93.377474092,279.141,915.816
44.743910892,-93.377415513,279.192,915.983
44.743910892,-93.377356933,279.234,916.123
44.743910892,-93.377298354,279.228,916.104
44.743910892,-93.377239774,279.222,916.084
44.743910892,-93.377181195,279.216,916.064
44.743910892,-93.377122615,279.211,916.046
44.743910892,-93.377064036,279.205,916.028
44.743910892,-93.377005456,279.199,916.007
44.743910892,-93.376946877,279.191,915.982
44.743910892,-93.376888297,279.183,915.956
44.743910892,-93.376829718,279.176,915.930
44.743910892,-93.376771138,279.167,915.901
44.743910892,-93.376712559,279.157,915.869
44.743910892,-93.376653979,279.147,915.838
44.743910892,-93.376595400,279.137,915.805
44.743910892,-93.376536820,279.127,915.772
44.743910892,-93.376478240,279.118,915.740
44.743910892,-93.376419661,279.109,915.711
44.743951951,-93.378411365,279.850,918.142
44.743951951,-93.378352785,279.732,917.756
44.743951951,-93.378294206,279.630,917.421
44.743951951,-93.378235626,279.543,917.134
44.743951951,-93.378177047,279.443,916.808
44.743951951,-93.378118467,279.310,916.373
44.743951951,-93.378059888,279.162,915.885
44.743951951,-93.378001308,279.014,915.401
44.743951951,-93.377942728,278.915,915.077
44.743951951,-93.377884149,278.845,914.847
44.743951951,-93.377825569,278.798,914.693
44.743951951,-93.377766990,278.835,914.814
44.743951951,-93.377708410,278.883,914.970
44.743951951,-93.377649831,278.943,915.166
44.743951951,-93.377591251,279.014,915.402
44.743951951,-93.377532672,279.084,915.630
44.743951951,-93.377474092,279.138,915.807
44.743951951,-93.377415513,279.174,915.926
44.743951951,-93.377356933,279.199,916.008
44.743951951,-93.377298354,279.197,916.002
44.743951951,-93.377239774,279.195,915.996
44.743951951,-93.377181195,279.194,915.989
44.743951951,-93.377122615,279.192,915.984
44.743951951,-93.377064036,279.190,915.978
44.743951951,-93.377005456,279.187,915.969
44.743951951,-93.376946877,279.183,915.956
44.743951951,-93.376888297,279.179,915.940
44.743951951,-93.376829718,279.174,915.924
44.743951951,-93.376771138,279.168,915.904
44.743951951,-93.376712559,279.161,915.882
44.743951951,-93.376653979,279.153,915.857
44.743951951,-93.376595400,279.145,915.829
44.743951951,-93.376536820,279.135,915.797
44.743951951,-93.376478240,279.125,915.765
44.743951951,-93.376419661,279.116,915.735
44.743993011,-93.378411365,279.860,918.177
44.743993011,-93.378352785,279.741,917.785
44.743993011,-93.378294206,279.630,917.421
44.743993011,-93.378235626,279.545,917.142
44.743993011,-93.378177047,279.448,916.823
44.743993011,-93.378118467,279.312,916.378
44.743993011,-93.378059888,279.164,915.894
44.743993011,-93.378001308,279.020,915.420
44.743993011,-93.377942728,278.924,915.106
44.743993011,-93.377884149,278.852,914.869
44.743993011,-93.377825569,278.799,914.695
44.743993011,-93.377766990,278.842,914.837
44.743993011,-93.377708410,278.891,914.998
44.743993011,-93.377649831,278.946,915.177
44.743993011,-93.377591251,279.018,915.415
44.743993011,-93.377532672,279.088,915.643
44.743993011,-93.377474092,279.133,915.792
44.743993011,-93.377415513,279.154,915.858
44.743993011,-93.377356933,279.160,915.878
44.743993011,-93.377298354,279.158,915.872
44.743993011,-93.377239774,279.156,915.865
44.743993011,-93.377181195,279.154,915.858
44.743993011,-93.377122615,279.152,915.854
44.743993011,-93.377064036,279.151,915.850
44.743993011,-93.377005456,279.149,915.843
44.743993011,-93.376946877,279.145,915.831
44.743993011,-93.376888297,279.141,915.818
44.743993011,-93.376829718,279.138,915.806
44.743993011,-93.376771138,279.134,915.794
44.743993011,-93.376712559,279.131,915.783
44.743993011,-93.376653979,279.126,915.767
44.743993011,-93.376595400,279.120,915.750
44.743993011,-93.376536820,279.114,915.729
44.743993011,-93.376478240,279.108,915.708
44.743993011,-93.376419661,279.102,915.689
44.744034071,-93.378411365,279.863,918.187
44.744034071,-93.378352785,279.743,917.791
44.744034071,-93.378294206,279.620,917.390
44.744034071,-93.378235626,279.535,917.110
44.744034071,-93.378177047,279.439,916.793
44.744034071,-93.378118467,279.303,916.348
44.744034071,-93.378059888,279.158,915.874
44.744034071,-93.378001308,279.018,915.412
44.744034071,-93.377942728,278.924,915.104
44.744034071,-93.377884149,278.850,914.862
44.744034071,-93.377825569,278.792,914.672
44.744034071,-93.377766990,278.843,914.839
44.744034071,-93.377708410,278.896,915.012
44.744034071,-93.377649831,278.947,915.180
44.744034071,-93.377591251,279.021,915.424
44.744034071,-93.377532672,279.092,915.656
44.744034071,-93.377474092,279.132,915.787
44.744034071,-93.377415513,279.143,915.824
44.744034071,-93.377356933,279.139,915.810
44.744034071,-93.377298354,279.137,915.802
44.744034071,-93.377239774,279.134,915.794
44.744034071,-93.377181195,279.131,915.784
44.744034071,-93.377122615,279.129,915.779
44.744034071,-93.377064036,279.128,915.773
44.744034071,-93.377005456,279.126,915.766
44.744034071,-93.376946877,279.122,915.755
44.744034071,-93.376888297,279.118,915.742
44.744034071,-93.376829718,279.115,915.731
44.744034071,-93.376771138,279.112,915.723
44.744034071,-93.376712559,279.111,915.719
44.744034071,-93.376653979,279.108,915.708
44.744034071,-93.376595400,279.104,915.696
44.744034071,-93.376536820,279.100,915.683
44.744034071,-93.376478240,279.096,915.670
44.744034071,-93.376419661,279.093,915.659
44.744075131,-93.378411365,279.826,918.066
44.744075131,-93.378352785,279.706,917.669
44.744075131,-93.378294206,279.560,917.193
44.744075131,-93.378235626,279.458,916.858
44.744075131,-93.378177047,279.355,916.519
44.744075131,-93.378118467,279.236,916.129
44.744075131,-93.378059888,279.104,915.694
44.744075131,-93.378001308,278.971,915.260
44.744075131,-93.377942728,278.872,914.934
44.744075131,-93.377884149,278.797,914.688
44.744075131,-93.377825569,278.742,914.508
44.744075131,-93.377766990,278.810,914.731
44.744075131,-93.377708410,278.876,914.947
44.744075131,-93.377649831,278.934,915.137
44.744075131,-93.377591251,279.017,915.412
44.744075131,-93.377532672,279.098,915.676
44.744075131,-93.377474092,279.150,915.845
44.744075131,-93.377415513,279.190,915.977
44.744075131,-93.377356933,279.221,916.080
44.744075131,-93.377298354,279.216,916.063
44.744075131,-93.377239774,279.211,916.045
44.744075131,-93.377181195,279.205,916.027
44.744075131,-93.377122615,279.199,916.006
44.744075131,-93.377064036,279.192,915.986
44.744075131,-93.377005456,279.187,915.967
44.744075131,-93.376946877,279.180,915.944
44.744075131,-93.376888297,279.172,915.918
44.744075131,-93.376829718,279.164,915.893
44.744075131,-93.376771138,279.156,915.867
44.744075131,-93.376712559,279.148,915.841
44.744075131,-93.376653979,279.140,915.813
44.744075131,-93.376595400,279.132,915.786
44.744075131,-93.376536820,279.124,915.760
44.744075131,-93.376478240,279.116,915.735
44.744075131,-93.376419661,279.108,915.709
44.744116191,-93.378411365,279.789,917.944
44.744116191,-93.378352785,279.668,917.547
44.744116191,-93.378294206,279.501,916.997
44.744116191,-93.378235626,279.381,916.605
44.744116191,-93.378177047,279.272,916.245
44.744116191,-93.378118467,279.169,915.909
44.744116191,-93.378059888,279.049,915.515
44.744116191,-93.378001308,278.925,915.107
44.744116191,-93.377942728,278.820,914.763
44.744116191,-93.377884149,278.744,914.515
44.744116191,-93.377825569,278.692,914.344
44.744116191,-93.377766990,278.777,914.622
44.744116191,-93.377708410,278.856,914.882
44.744116191,-93.377649831,278.921,915.095
44.744116191,-93.377591251,279.014,915.399
44.744116191,-93.377532672,279.104,915.696
44.744116191,-93.377474092,279.167,915.904
44.744116191,-93.377415513,279.237,916.131
44.744116191,-93.377356933,279.303,916.349
44.744116191,-93.377298354,279.295,916.323
44.744116191,-93.377239774,279.287,916.296
44.744116191,-93.377181195,279.279,916.269
44.744116191,-93.377122615,279.268,916.233
44.744116191,-93.377064036,279.257,916.198
44.744116191,-93.377005456,279.248,916.168
44.744116191,-93.376946877,279.237,916.132
44.744116191,-93.376888297,279.226,916.095
44.744116191,-93.376829718,279.214,916.055
44.744116191,-93.376771138,279.200,916.010
44.744116191,-93.376712559,279.185,915.963
44.744116191,-93.376653979,279.172,915.918
44.744116191,-93.376595400,279.159,915.876
44.744116191,-93.376536820,279.147,915.837
44.744116191,-93.376478240,279.135,915.799
44.744116191,-93.376419661,279.124,915.760
44.744157251,-93.378411365,279.775,917.898
44.744157251,-93.378352785,279.649,917.483
44.744157251,-93.378294206,279.486,916.948
44.744157251,-93.378235626,279.366,916.555
44.744157251,-93.378177047,279.255,916.190
44.744157251,-93.378118467,279.150,915.847
44.744157251,-93.378059888,279.032,915.459
44.744157251,-93.378001308,278.911,915.062
44.744157251,-93.377942728,278.808,914.726
44.744157251,-93.377884149,278.738,914.494
44.744157251,-93.377825569,278.692,914.345
44.744157251,-93.377766990,278.778,914.627
44.744157251,-93.377708410,278.859,914.892
44.744157251,-93.377649831,278.926,915.112
44.744157251,-93.377591251,279.011,915.390
44.744157251,-93.377532672,279.094,915.662
44.744157251,-93.377474092,279.157,915.871
44.744157251,-93.377415513,279.227,916.098
44.744157251,-93.377356933,279.293,916.315
44.744157251,-93.377298354,279.281,916.277
44.744157251,-93.377239774,279.269,916.237
44.744157251,-93.377181195,279.256,916.195
44.744157251,-93.377122615,279.242,916.150
44.744157251,-93.377064036,279.229,916.106
44.744157251,-93.377005456,279.218,916.069
44.744157251,-93.376946877,279.206,916.031
44.744157251,-93.376888297,279.195,915.994
44.744157251,-93.376829718,279.186,915.963
44.744157251,-93.376771138,279.175,915.929
44.744157251,-93.376712559,279.164,915.892
44.744157251,-93.376653979,279.152,915.853
44.744157251,-93.376595400,279.141,915.818
44.744157251,-93.376536820,279.133,915.789
44.744157251,-93.376478240,279.122,915.754
44.744157251,-93.376419661,279.111,915.719
44.744198311,-93.378411365,279.764,917.861
44.744198311,-93.378352785,279.631,917.425
44.744198311,-93.378294206,279.476,916.917
44.744198311,-93.378235626,279.358,916.528
44.744198311,-93.378177047,279.245,916.160
44.744198311,-93.378118467,279.137,915.803
44.744198311,-93.378059888,279.019,915.417
44.744198311,-93.378001308,278.901,915.028
44.744198311,-93.377942728,278.802,914.704
44.744198311,-93.377884149,278.736,914.490
44.744198311,-93.377825569,278.698,914.364
44.744198311,-93.377766990,278.784,914.645
44.744198311,-93.377708410,278.865,914.911
44.744198311,-93.377649831,278.933,915.136
44.744198311,-93.377591251,279.008,915.381
44.744198311,-93.377532672,279.081,915.621
44.744198311,-93.377474092,279.144,915.828
44.744198311,-93.377415513,279.210,916.044
44.744198311,-93.377356933,279.272,916.247
44.744198311,-93.377298354,279.256,916.195
44.744198311,-93.377239774,279.240,916.142
44.744198311,-93.377181195,279.223,916.087
44.744198311,-93.377122615,279.206,916.031
44.744198311,-93.377064036,279.191,915.980
